instance	class	precision	recall	predicted class size	real class size
species	Desulfovibrio idahonensis	1.00	0.95	3384543	3547531
species	Pseudobutyrivibrio xylanivorans	1.00	0.99	3377269	3420207
species	Desulfovibrio senezii	1.00	0.95	3373982	3559919
species	Desulfovibrio halophilus	1.00	1.00	3358337	3375026
species	Comamonas nitrativorans	0.98	0.97	3325184	3356089
species	Prevotella shahii	1.00	0.95	3322128	3504004
species	Salegentibacter salarius	1.00	0.99	3300082	3328538
species	Bacillus sp. M5-3	0.74	0.40	3257726	5984486
species	Afifella marina	1.00	0.82	3257656	3962251
species	Nonlabens xylanidelens	1.00	0.99	3235998	3274777
species	Oceanicella actignis	1.00	0.98	3226468	3280980
species	Fibrobacter intestinalis	1.00	0.98	3211698	3277440
species	Desulfotomaculum thermosubterraneum	1.00	0.93	3179093	3410037
species	Azomonas agilis	1.00	0.97	3170927	3274144
species	[Clostridium] litorale	1.00	0.99	3165884	3196223
species	Desulfovibrio gracilis	1.00	0.99	3153144	3179188
species	Flavobacterium lindanitolerans	1.00	0.81	3093690	3806186
species	Arenimonas donghaensis	1.00	0.99	2961754	2978743
species	Gemmiger formicilis	1.00	0.91	2946545	3238784
species	Porphyrobacter sanguineus	1.00	0.99	2934723	2978214
species	Pseudoxanthomonas kalamensis	1.00	0.99	2902969	2925450
species	Selenihalanaerobacter shriftii	1.00	1.00	2840047	2837595
species	Chryseobacterium bovis	1.00	0.84	2824589	3337045
species	Eubacterium ruminantium	1.00	0.97	2766070	2834267
species	Pilibacter termitis	1.00	0.99	2758854	2780066
species	Desulfotomaculum putei	1.00	0.88	2742623	3113723
