"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"Sample15_49"	0	0	0	12969	"admiring_curie_2"
"strain"	"1035981"	1	0.977731368489	1998611	2044131	"admiring_curie_2"
"strain"	"1030728"	0.183819463479	0.747061412633	10470790	2576408	"berserk_euclid_1"
"strain"	"1220_E"	1	0.993136316142	7232258	7282241	"berserk_euclid_1"
"strain"	"1053022"	0.245361288242	0.988633695562	14844477	3684135	"berserk_euclid_1"
"strain"	"1053025"	0.250562077734	0.988605999844	14844477	3762331	"berserk_euclid_1"
"strain"	"Sample19_54"	0.0116029094237	1	2552808	29620	"berserk_euclid_1"
"strain"	"1053028"	0.249748239699	0.984534286519	14844477	3765620	"berserk_euclid_1"
"strain"	"Sample9_165"	0.000383993985137	1	18226848	6999	"berserk_euclid_1"
"strain"	"1220_CF"	0.989380513807	0.905332436011	4227229	4619671	"berserk_euclid_1"
"strain"	"Sample6_355"	0.00423467364139	0.918165168165	2604451	12012	"berserk_euclid_1"
"strain"	"Sample23_370"	0.0249016424612	1	341865	8513	"berserk_euclid_1"
"strain"	"1030905"	0.998373751448	0.983621760616	3065952	3111934	"berserk_euclid_1"
"strain"	"1285_BD"	1	0.873827524679	2909497	3329601	"berserk_euclid_1"
"strain"	"Sample22_16"	0.0442714169915	1	1548245	68543	"berserk_euclid_1"
"strain"	"Sample22_11"	0.0523980377783	1	1548245	81125	"berserk_euclid_1"
"strain"	"Sample24_63"	0.107277874786	1	176961	18984	"berserk_euclid_1"
"strain"	"Sample23_378"	0.00170945042329	1	4912690	8398	"berserk_euclid_1"
"strain"	"Sample22_561"	0.00152468787354	1	5741503	8754	"berserk_euclid_1"
"strain"	"Sample6_203"	0.00106628542609	1	15620583	16656	"berserk_euclid_1"
"strain"	"1220_X"	1	0.982237607835	3573127	3637742	"berserk_euclid_1"
"strain"	"Sample18_60"	0.00343167982321	1	5741503	19703	"berserk_euclid_1"
"strain"	"Sample24_68"	0.00833471483042	1	2099172	17496	"berserk_euclid_1"
"strain"	"Sample18_62"	0.00447127047239	1	4319354	19313	"berserk_euclid_1"
"strain"	"Sample6_199"	0.00388298805794	1	4319354	16772	"berserk_euclid_1"
"strain"	"1139_AW"	0.3430724485	0.942815727467	15369911	5592814	"berserk_euclid_1"
"strain"	"Sample22_112"	0.00849537759062	1	3311801	28135	"berserk_euclid_1"
"strain"	"Sample15_108"	0.00109780608862	1	5703193	6261	"berserk_euclid_1"
"strain"	"evo_1030728.011"	0.161083165645	0.671987850044	10470790	2509968	"berserk_euclid_1"
"strain"	"Sample15_104"	0.000496740104592	1	12996736	6456	"berserk_euclid_1"
"strain"	"Sample22_94"	0.00813290620671	1	3801839	30920	"berserk_euclid_1"
"strain"	"Sample6_192"	0.0226472041632	1	750777	17003	"berserk_euclid_1"
"strain"	"Sample15_107"	0.00111078127638	1	5703193	6335	"berserk_euclid_1"
"strain"	"Sample15_75"	0.0013897478132	1	5703193	7926	"berserk_euclid_1"
"strain"	"evo_1035921.028"	0.206062127338	0.976574022221	14919680	3148129	"berserk_euclid_1"
"strain"	"Sample23_25"	0.00675818652511	1	4319354	29191	"berserk_euclid_1"
