instance	class	precision	recall	predicted class size	real class size
species	Pedobacter aquatilis	1.00	0.98	4383882	4466044
species	Williamsia deligens	1.00	0.99	4380357	4407838
species	Chryseobacterium sp. T85L.09.P.BNT.GC.H.Gill.D.M	0.99	0.99	4314880	4323695
species	Clostridium acidisoli	0.93	1.00	4310745	3999657
species	Nocardioides terrigena	1.00	0.48	4308533	9058280
species	Desulfotomaculum aeronauticum	0.93	0.98	4266846	4015323
species	Pseudomonas xiamenensis	1.00	1.00	4250765	4267703
species	Sporobacter termitidis	0.99	0.99	4204568	4196055
species	Hwanghaeicola aestuarii	1.00	0.92	4184642	4540469
species	Desulfacinum infernum	1.00	0.98	4149977	4236285
species	Cytophaga xylanolytica	0.98	0.94	4148640	4361637
species	Thiothrix eikelboomii	1.00	0.99	4126148	4145616
species	Sphingomonas hankookensis	1.00	0.98	4064790	4134663
species	Planktotalea frisia	0.99	0.96	4054006	4153516
species	Parabacteroides chartae	0.96	0.99	4052808	3908047
species	Devosia limi	1.00	0.94	4048862	4296833
species	Agromyces fucosus	1.00	1.00	4041587	4042744
species	Propionigenium maris	1.00	0.98	4039631	4107155
species	Malonomonas rubra	0.96	0.96	3963120	3960448
species	Halomonas ilicicola	0.99	0.99	3944672	3952422
species	Phycicoccus ginsenosidimutans	1.00	0.98	3914126	3999571
species	Microbacterium sp. C23(2011)	0.99	0.50	3905402	7755981
species	Desulfovibrio paquesii	1.00	0.93	3903466	4199435
species	Dethiosulfatibacter aminovorans	1.00	0.97	3894016	4030129
species	Pseudobutyrivibrio xylanivorans	0.87	0.99	3889923	3420207
species	Cellulophaga fucicola	1.00	0.98	3847484	3915480
species	Devosia sp. R41	1.00	1.00	3829610	3821022
species	Desulfobotulus sapovorans	1.00	0.96	3825234	3980756
species	Soehngenia saccharolytica	0.49	0.92	3798508	2001077
species	Sphingopyxis marina	0.94	1.00	3775213	3547923
species	Flavobacterium lindanitolerans	0.97	0.96	3771837	3806186
species	Desulfovibrio marinisediminis	0.98	1.00	3768013	3708799
species	Geosporobacter subterraneus	0.98	0.95	3714199	3855557
species	Oceanimonas baumannii	0.99	0.99	3708319	3735544
species	Cellulophaga tyrosinoxydans	0.96	1.00	3676601	3547012
species	Salegentibacter mishustinae	1.00	0.97	3673169	3769298
species	Hespellia stercorisuis	1.00	0.84	3672014	4394786
species	Desulfacinum hydrothermale	1.00	0.32	3621337	11335112
species	Pelagicola litoralis	0.99	0.99	3613663	3642180
species	Salegentibacter salarius	0.93	1.00	3590002	3328538
species	Sedimentibacter saalensis	1.00	0.94	3589422	3826005
species	Geobacter thiogenes	1.00	0.98	3518502	3568133
species	Oceanospirillum multiglobuliferum	1.00	1.00	3509918	3508055
species	Desulfovibrio gracilis	0.91	0.99	3462593	3179188
species	Desulfovibrio halophilus	0.99	1.00	3407888	3375026
species	Acidocella aminolytica	0.99	0.85	3407822	3960665
species	Desulfovibrio idahonensis	1.00	0.96	3404071	3547531
species	Desulfotomaculum thermosubterraneum	1.00	0.99	3373473	3410037
species	Prevotella shahii	1.00	0.96	3354903	3504004
species	Desulfovibrio senezii	1.00	0.94	3350465	3559919
species	Halobacterium salinarum	0.98	0.14	3334998	23185149
species	Soonwooa buanensis	0.99	0.99	3321047	3329138
species	Nonlabens xylanidelens	1.00	0.99	3256120	3274777
species	Albidovulum inexpectatum	1.00	0.27	3246041	12119276
species	Nonlabens ulvanivorans	0.97	0.99	3233768	3177054
species	Pseudoxanthomonas kalamensis	0.90	1.00	3230412	2925450
species	Oceanicella actignis	1.00	0.98	3206755	3280980
species	Thalassobacter stenotrophicus	1.00	0.88	3185882	3596730
species	Pseudomonas pertucinogena	0.96	0.99	3184781	3063189
species	[Clostridium] litorale	1.00	0.99	3169373	3196223
